Date,Open,High,Low,Close,Adj Close,Volume
11/6/2019,66.949997,67.129997,65.360001,66.830002,66.830002,1327400
11/7/2019,67.029999,68.68,66.209999,66.809998,66.809998,1128200
11/8/2019,66.540001,70,66.519997,69.849998,69.849998,1472400
11/11/2019,69.510002,70.190002,67.760002,68.389999,68.389999,1037500
11/12/2019,68.5,70.050003,67.559998,68,68,1911000
11/13/2019,68,68.508003,66.870003,68.010002,68.010002,1987000
11/14/2019,67.769997,68.150002,66.709999,67.739998,67.739998,932500
11/15/2019,68.129997,71.099998,67.910004,70.010002,70.010002,2311800
11/18/2019,70.470001,71.139999,68.779999,70.080002,70.080002,1676000
11/19/2019,70.190002,70.332001,68.190002,69.639999,69.639999,1704700
11/20/2019,69.25,71.709999,68.550003,70.989998,70.989998,2780700
11/21/2019,71.5,71.949997,69.580002,69.919998,69.919998,1127000
11/22/2019,72,74,71.150002,73.160004,73.160004,3051900
11/25/2019,73.800003,75.059998,72.860001,74.550003,74.550003,1936400
11/26/2019,75,75.769997,74.760002,75.160004,75.160004,1836500
11/27/2019,75.809998,75.839996,73.360001,74.080002,74.080002,1355900
11/29/2019,74.099998,74.940002,73.860001,74.5,74.5,512600
12/2/2019,74.059998,74.5,68.459999,68.93,68.93,3138600
12/3/2019,66.720001,70.529999,66.050003,70.019997,70.019997,2444200
12/4/2019,70.5,70.900002,69.150002,69.959999,69.959999,2076500
12/5/2019,70.029999,70.75,69.220001,69.669998,69.669998,3672600
12/6/2019,64.260002,65.080002,62.110001,62.740002,62.740002,11253600
12/9/2019,62.389999,67.269997,62.330002,65.940002,65.940002,5234100
12/10/2019,65.489998,65.830002,63.389999,64.57,64.57,3895700
12/11/2019,64.239998,64.449997,62.049999,63.52,63.52,3685600
12/12/2019,63.490002,64.230003,62.119999,62.490002,62.490002,3317300
12/13/2019,62.5,63.75,62.02,63.540001,63.540001,2489400
12/16/2019,63.59,66.389999,63.560001,66.349998,66.349998,3282800
12/17/2019,66.620003,66.620003,65.400002,66.169998,66.169998,2301000
12/18/2019,66.220001,68.139999,66.040001,67.599998,67.599998,2237000
12/19/2019,67.75,68.459999,67.099998,68.18,68.18,1610500
12/20/2019,68.199997,68.480003,66.415001,66.93,66.93,2201400
12/23/2019,67.019997,67.5,65.93,66.150002,66.150002,1663500
12/24/2019,66.300003,66.885002,65.739998,66.459999,66.459999,562600
12/26/2019,66.5,68.190002,66.300003,67.449997,67.449997,1387600
12/27/2019,67.510002,67.959999,66.510002,66.639999,66.639999,955400
12/30/2019,66.559998,67.18,65.519997,66.790001,66.790001,1162700
12/31/2019,66.379997,68.18,66.309998,68.040001,68.040001,1351400
1/2/2020,68.800003,69.235001,68.019997,68.720001,68.720001,1315500
1/3/2020,67.620003,68.68,67.099998,67.279999,67.279999,1127900
1/6/2020,66.629997,70.495003,65.811996,70.32,70.32,3151600
1/7/2020,70.290001,72.838997,69.370003,71.900002,71.900002,6985400
1/8/2020,71.809998,73.290001,71.029999,72.550003,72.550003,2482300
1/9/2020,73.989998,74,71.349998,72.620003,72.620003,2772000
1/10/2020,73.080002,73.800003,72.25,73.089996,73.089996,1655100
1/13/2020,73.889999,75.580002,73.800003,74.029999,74.029999,3347100
1/14/2020,74.32,75.114998,72.260002,73.160004,73.160004,1909500
1/15/2020,73.279999,77.779999,73.199997,76.940002,76.940002,3963500
1/16/2020,78,78.790001,75.110001,76.110001,76.110001,2998300
1/17/2020,76.660004,76.900002,75.489998,75.559998,75.559998,1357400
1/21/2020,75.559998,77.120003,74.32,76.730003,76.730003,1606700
1/22/2020,77.07,77.106003,75.459999,75.540001,75.540001,1501600
1/23/2020,75.669998,75.970001,74.209999,74.470001,74.470001,1279000
1/24/2020,74.970001,76.184998,72.375,73,73,1660200
1/27/2020,71.330002,72.132004,70.32,70.440002,70.440002,1750700
1/28/2020,71,72.480003,70.260002,71.510002,71.510002,1598200
1/29/2020,72.510002,74.139999,71.212997,73.580002,73.580002,1373400
1/30/2020,73.099998,74.800003,72.550003,74.540001,74.540001,1425400
1/31/2020,74.269997,76.669998,73.300003,76.300003,76.300003,2521700
2/3/2020,77.690002,88.940002,77.510002,87.660004,87.660004,13023400
2/4/2020,91.040001,93.300003,83.5,85.790001,85.790001,10611000
2/5/2020,85.769997,90.970001,83.754997,86.989998,86.989998,5126800
2/6/2020,87,89.440002,85.260002,87.260002,87.260002,2410800
2/7/2020,87.230003,90.599998,86.809998,88.639999,88.639999,2636600
2/10/2020,89.089996,89.980003,86.910004,89.669998,89.669998,2071600
2/11/2020,90,90.5,87.93,88.68,88.68,2731900
2/12/2020,88.660004,89.5,86.519997,88.279999,88.279999,1671100
2/13/2020,87.610001,91.93,87,89.860001,89.860001,3406400
2/14/2020,90.879997,91.709999,89.809998,90.949997,90.949997,2295000
2/18/2020,93.019997,98.139999,92.400002,96.389999,96.389999,5608200
2/19/2020,100.32,105.080002,99.75,103.93,103.93,7793800
2/20/2020,104,110.75,101.43,105.290001,105.290001,11293200
2/21/2020,104.029999,104.290001,98.089996,101.760002,101.760002,5519200
2/24/2020,97.800003,110,97.019997,105.010002,105.010002,12172800
2/25/2020,108.519997,111.800003,104.466003,107.080002,107.080002,13425900
2/26/2020,109.943001,111.300003,105.599998,106.879997,106.879997,6867500
2/27/2020,109.43,118,107.599998,113.550003,113.550003,13511800
2/28/2020,121.07,121.93,97.370003,105,105,21617100
3/2/2020,109.349998,114.5,102.5,113.110001,113.110001,10157400
3/3/2020,114.550003,119.199997,112.110001,117.470001,117.470001,11033700
3/4/2020,118.510002,119.970001,113.110001,116.800003,116.800003,12102600
3/5/2020,110.25,129.830002,110,125,125,28149400
3/6/2020,119.650002,122,107,114.32,114.32,22975700
3/9/2020,105,116.5,100.879997,113.75,113.75,14571300
3/10/2020,113.800003,113.800003,105,108.489998,108.489998,10244000
3/11/2020,108.410004,113.989998,107,110.300003,110.300003,12576700
3/12/2020,106.25,113.871002,104.389999,109.470001,109.470001,12097900
3/13/2020,113,113.800003,104.160004,107.470001,107.470001,9233500
3/16/2020,105,119.870003,103.199997,107.860001,107.860001,17210700
3/17/2020,107.330002,113.830002,102,111.099998,111.099998,18721500
3/18/2020,111,119,108.849998,118.709999,118.709999,13594300
3/19/2020,122.949997,132.229996,119.099998,123.769997,123.769997,16248400
