sale_price,sq_ft,acreage
377400,2046,0.16
535500,3305,0.56
284900,2046,0.15
489300,3121,0.25
315000,2236,0.58
483000,3208,0.17
620000,4171,0.38
560000,3905,0.56
281500,2111,0.34
610000,3741,0.4
378200,2400,0.15
418000,2804,0.16
449700,2063,0.2
450300,2499,0.38
293043,2640,0.22
435000,2864,0.3
580000,3649,0.37
396000,2600,0.17
462200,2961,0.15
290000,2022,0.12
340600,1936,0.14
278000,2014,0.14
560000,3815,0.39
311800,2712,0.15
320000,2476,0.17
415800,2420,0.17
515000,3192,0.23
55400,2734,0.37
454500,3642,0.51
335500,2614,0.1
384000,2682,0.11
415400,2153,0.23
490300,2952,0.22
1009000,4673,0.36
385000,3003,0.24
310000,2608,0.1
345000,2752,0.18
408000,2949,0.15
362800,2093,0.19
796200,3835,0.29
325000,2702,0.86
297300,2534,0.21
300000,2183,0.33
815600,3987,0.35
515000,3829,0.4
174300,1365,0.12
473000,3589,0.23
574200,3549,0.23
789000,3746,0.3
310000,2678,0.11
430000,2836,0.23
501000,2937,0.22
332000,2700,0.14
450000,2770,0.22
375000,2923,0.29
415200,3405,0.51
290000,2092,0.23
275000,2014,0.25
239900,1442,0.11
390000,2593,0.36
592000,4207,0.49
100000,2329,0.14
333000,2565,0.24
432000,3012,0.39
295000,2312,0.1
208000,1345,0.12
297000,2315,0.15
355000,2300,0.18
278300,2144,0.1
268000,2022,0.1
349100,2417,0.11
329900,2676,0.14
283900,2034,0.15
280000,2122,0.24
530000,3714,0.32
590000,3752,0.51
500000,4257,0.88
277500,1992,0.1
308700,2064,0.1
370000,2046,0.15
285300,2162,0.18
339000,2650,0.14
460000,3358,0.24
514600,3567,0.24
230700,2357,0.34
225600,1638,0.14
291000,2014,0.2
514400,3081,0.4
645000,3991,0.44
480000,3358,0.43
434800,3029,0.14
405000,2130,0.33
220000,1392,0.12
205000,1304,0.17
438000,2897,0.28
486000,2921,0.39
384300,2676,0.14
292300,2128,0.15
315000,1834,0.16
283000,1798,0.17
265000,1660,0.18
335000,2346,0.18
330000,2649,0.13
425000,3005,0.14
305000,2080,0.15
432500,3273,0.28
546500,3665,0.29
227000,1393,0.13
444500,3009,0.15
465000,2894,0.22
597900,3587,0.22
341300,4084,1.06
307900,2128,0.1
173000,1195,0.11
420000,2635,0.21
289000,2006,0.13
680000,4284,1.06
393400,3391,0.16
310100,2128,0.1
424000,3280,0.21
505000,3411,0.21
505000,3540,0.23
309900,1954,0.14
285000,2094,0.15
425000,2537,0.19
440500,3113,0.65
205000,1582,0.11
219300,2053,0.13
290000,1716,0.14
351000,2602,0.2
303000,2034,0.15
301000,2210,0.23
309000,2659,0.26
